dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,4460,914,40,0,0,0,0,0,0,1,85,1
processed,59,14,3,1,0,0,0,0,0,0,0,0
processed,337,75,7,0,0,0,0,0,0,1,9,0
processed,51,12,1,0,0,0,0,0,0,0,0,0
processed,439,98,5,0,0,0,0,0,0,3,5,1
processed,647,137,7,0,0,0,0,0,0,2,11,0
processed,45,8,2,0,0,0,0,0,0,0,0,0
processed,140,32,2,0,0,0,0,0,0,0,3,0
processed,463,82,6,0,0,0,0,0,0,3,9,1
processed,2077,413,26,0,0,0,0,0,0,3,30,0
processed,97,17,3,0,0,0,0,0,0,0,1,0
processed,110,19,3,0,0,0,0,0,0,0,0,0
processed,101,23,2,0,0,0,0,0,0,0,2,0
processed,66,14,2,0,0,0,0,0,0,0,4,0
processed,401,80,1,0,0,0,0,0,0,0,7,0
processed,183,43,1,0,0,0,0,0,0,1,4,0
processed,344,76,5,0,0,0,0,0,0,1,6,0
processed,617,128,9,4,0,0,0,0,0,2,8,0
processed,284,52,1,0,0,0,0,0,0,0,3,0
processed,106,23,3,0,0,0,0,0,0,0,1,0
processed,398,74,1,0,0,0,0,0,0,0,5,0
processed,438,86,2,0,0,0,0,0,0,2,9,0
processed,296,57,4,0,0,0,0,0,0,0,6,0
processed,1139,234,15,0,0,0,0,0,0,1,15,0
processed,284,54,4,0,0,0,0,0,0,0,4,0
processed,714,152,7,0,0,0,0,0,0,3,16,0
processed,1532,284,13,1,0,0,0,0,0,2,10,0
processed,686,153,8,0,0,0,0,0,0,1,15,0
processed,329,64,6,0,0,0,0,0,0,0,3,0
processed,182,32,2,0,0,0,0,0,0,0,2,0
processed,462,97,8,0,0,0,0,0,0,0,5,0
processed,333,62,6,0,0,0,0,0,0,0,0,0
processed,187,34,3,0,0,0,0,0,0,0,4,0
processed,151,39,9,0,0,0,0,0,2,0,2,0
processed,82,16,6,0,0,0,0,0,0,0,3,0
processed,242,45,3,0,0,0,0,0,0,0,4,0
processed,137,23,5,0,0,0,0,0,0,0,4,0
processed,258,55,2,0,0,0,0,0,0,0,9,0
processed,311,51,6,0,0,0,0,0,0,0,5,0
processed,195,39,2,0,0,0,0,0,0,0,5,0
processed,254,61,2,0,0,0,0,0,0,0,0,0
processed,729,141,7,0,0,0,0,0,0,0,8,0
processed,438,97,11,0,0,0,0,0,0,2,11,0
processed,552,100,9,4,0,0,0,0,0,0,6,0
processed,392,82,3,0,0,0,0,0,0,1,3,0
processed,573,122,6,0,0,0,0,0,0,0,8,0
processed,244,49,5,0,0,0,0,0,0,1,4,0
processed,96,18,4,0,0,0,0,0,0,1,1,0
processed,500,102,7,0,0,0,0,0,0,0,4,0
processed,343,62,7,0,0,0,0,0,0,0,10,0
processed,430,75,6,0,0,0,0,0,0,1,4,0
processed,619,135,12,0,0,0,0,0,0,1,8,0
processed,126,25,3,0,0,0,0,0,0,0,4,0
processed,731,137,7,0,0,0,0,0,0,0,11,0
processed,366,70,4,0,0,0,0,0,0,0,7,0
processed,612,128,8,0,0,0,0,0,0,3,10,1
processed,185,41,3,0,0,0,0,0,0,1,4,0
processed,282,54,2,0,0,0,0,0,0,0,6,0
processed,237,49,3,0,0,0,0,0,0,0,5,0
processed,142,25,2,0,0,0,0,0,0,0,1,0
processed,340,66,5,0,0,0,0,0,0,0,11,0
processed,119,24,1,0,0,0,0,0,0,0,0,0
processed,304,65,5,0,0,0,0,0,0,1,8,0
processed,869,159,3,0,0,0,0,0,0,0,15,0
processed,826,153,15,0,0,0,0,0,0,0,9,0
processed,117,19,3,0,0,0,0,0,0,0,2,0
processed,539,108,8,0,0,0,0,0,0,0,7,0
processed,495,110,8,3,0,0,0,0,0,0,8,0
processed,581,119,7,0,0,0,0,0,0,2,12,0
processed,411,87,4,0,0,0,0,0,0,0,7,0
processed,560,109,6,0,0,0,0,0,0,1,4,0
processed,882,158,2,1,0,0,0,0,0,1,10,0
processed,516,118,11,0,0,0,0,0,0,0,9,0
processed,336,55,1,0,0,0,0,0,0,0,8,1
processed,502,94,4,0,0,0,0,0,0,3,8,0
processed,611,119,5,0,0,0,0,0,0,1,7,0
processed,197,42,2,0,0,0,0,0,0,1,1,0
processed,943,190,13,0,0,0,0,0,0,4,18,0
processed,46,9,1,0,0,0,0,0,0,0,1,0
processed,1306,291,16,0,0,0,0,0,0,0,31,0
processed,22,4,1,0,0,0,0,0,0,0,0,0
processed,333,76,1,0,0,0,0,0,0,2,6,0
processed,349,74,1,0,0,0,0,0,0,0,9,0
processed,472,88,8,0,0,0,0,0,0,0,6,0
processed,42,8,1,0,0,0,0,0,0,0,1,0
processed,97,20,1,0,0,0,0,0,0,0,1,0
processed,399,90,7,0,0,0,0,0,0,1,6,0
processed,819,156,2,0,0,0,0,0,0,1,17,0
processed,507,106,11,0,0,0,0,0,0,1,10,0
processed,246,55,3,0,0,0,0,0,0,0,3,0
processed,132,24,2,0,0,0,0,0,0,0,0,0
processed,935,183,14,0,0,0,0,0,0,1,89,0
processed,11,3,1,0,0,0,0,0,0,0,1,0
processed,248,53,4,0,0,0,0,0,0,0,3,0
processed,245,44,4,0,0,0,0,0,0,1,6,0
processed,451,90,3,0,0,0,0,0,0,1,7,0
processed,959,194,10,0,0,0,0,0,0,1,14,0
processed,755,129,2,0,0,0,0,0,0,1,9,0
processed,183,40,1,0,0,0,0,0,0,0,6,0
processed,330,63,1,0,0,0,0,0,0,0,5,0
processed,227,60,2,0,0,0,0,0,0,0,4,0
processed,528,101,6,0,0,0,0,0,0,0,8,0
processed,384,81,8,0,0,0,0,0,0,0,4,0
processed,219,47,4,0,0,0,0,0,0,2,1,0
processed,154,36,5,0,0,0,0,0,0,0,3,0
processed,296,52,3,0,0,0,0,0,0,0,3,0
processed,5,1,1,0,0,0,0,0,0,0,0,0
processed,235,48,5,0,0,0,0,0,0,0,3,2
processed,148,28,4,0,0,0,0,0,0,0,4,0
processed,501,96,5,0,0,0,0,0,0,0,13,0
processed,186,33,4,0,0,0,0,0,0,0,3,0
processed,40,7,1,0,0,0,0,0,0,0,0,0
processed,9,2,1,0,0,0,0,0,0,0,1,0
processed,851,161,2,0,0,0,0,0,0,0,14,0
processed,317,61,2,0,0,0,0,0,0,0,5,0
processed,475,95,5,0,0,0,0,0,0,0,10,0
processed,1157,249,20,0,0,0,0,0,0,1,18,0
processed,350,73,7,0,0,0,0,0,0,1,8,0
processed,191,43,4,0,0,0,0,0,0,0,4,0
processed,733,146,16,0,0,0,0,0,0,3,14,0
processed,220,50,6,0,0,0,0,0,0,1,3,0
processed,160,31,1,0,0,0,0,0,0,0,6,0
processed,40,7,1,0,0,0,0,0,0,0,0,0
processed,104,24,1,0,0,0,0,0,0,0,2,0
processed,30,6,1,0,0,0,0,0,0,0,0,0
processed,483,98,3,0,0,0,0,0,0,1,10,0
processed,229,45,5,0,0,0,0,0,0,0,2,0
processed,80,17,1,0,0,0,0,0,0,0,2,0
processed,563,106,5,0,0,0,0,0,0,0,5,0
processed,519,105,9,0,0,0,0,0,0,1,4,0
processed,426,82,4,0,0,0,0,0,0,2,5,1
processed,292,61,4,0,0,0,0,0,0,0,2,0
processed,107,18,2,0,0,0,0,0,0,0,2,0
processed,477,105,6,0,0,0,0,0,0,0,12,0
processed,616,145,9,0,0,0,0,0,0,4,15,0
processed,57,11,1,0,0,0,0,0,0,0,0,0
processed,201,43,2,0,0,0,0,0,0,1,5,1
processed,1173,234,6,0,0,0,0,0,0,3,18,1
processed,479,89,1,0,0,0,0,0,0,1,3,0
processed,145,22,2,0,0,0,0,0,0,0,1,0
